100000 200000
37739 67310 641
36946 55456 385
29929 84184 228
54142 36879 254
45569 3987 854
11006 54526 872
34222 1499 506
86005 9455 665
61043 56375 446
35622 22719 491
18320 45556 105
2811 23177 763
83829 57347 480
74051 65964 664
5327 89390 870
59799 20259 278
25725 92041 786
92573 92676 875
49358 10939 454
45505 4648 579
44572 49567 326
44207 36509 863
59774 11177 282
25500 55838 686
34681 20863 857
16554 32591 889
72843 25122 594
1830 36747 131
1229 50174 881
72282 71744 523
62867 53978 33
78663 66873 39
42685 6099 373
89278 6118 867
78275 13510 786
69624 53486 28
45546 22318 641
42084 46834 147
63437 57710 397
91302 92812 656
27344 73235 876
95086 93096 42
92299 77324 635
18525 83270 102
26969 22205 639
58188 82655 377
82155 59590 112
54618 71842 546
1265 48170 116
63506 11611 651
50308 56572 306
77067 45509 747
86885 77446 664
51178 63829 531
90440 29730 591
4933 83285 9
62072 99540 360
79099 65389 403
27627 80098 631
37333 39990 216
67304 9997 663
9118 43508 301
89543 66614 188
69826 17022 687
70289 88105 598
95695 73290 244
93271 34722 776
10727 34282 442
69624 52974 661
51694 37785 888
9820 20070 804
41222 18928 833
84106 28033 87
26150 30 329
35623 73849 90
12522 46704 730
56827 98370 468
13989 97740 431
22225 22755 161
42646 59878 487
80963 13253 859
22341 60716 682
29660 9938 42
61168 52632 580
43691 65591 880
40737 57693 50
31890 40888 718
53921 45005 773
80288 11677 892
38128 10562 831
63867 48069 372
99753 11946 504
43177 5654 236
68172 93793 714
83938 53293 646
95345 84622 815
90185 93810 559
71200 29633 616
41082 94802 615
67916 41966 464
33331 91521 239
44761 97610 897
36349 78823 335
63894 50969 618
24834 30534 404
91189 30480 421
26405 86363 609
23462 40445 908
14565 66008 549
37668 76879 987
31859 42426 514
44188 36795 822
6266 88922 129
66845 45636 567
96746 66145 666
65108 81196 692
47694 22817 731
41048 16658 464
72150 44666 212
53889 81291 980
72162 37548 389
14619 96823 198
68125 1473 222
68018 88926 749
87625 36671 536
40956 72948 63
87596 52557 618
73166 50583 647
35856 69064 42
16158 42225 371
9488 78416 976
41447 29317 137
41340 92482 129
25244 16025 632
78565 61392 135
4020 89395 433
47049 46810 947
30913 20148 93
84320 18139 406
80563 50289 199
99152 16225 223
66181 81376 33
90802 79324 381
39441 3318 781
63925 26025 920
89524 13082 396
61107 51183 235
64711 18266 241
39973 46226 652
46574 79288 794
32883 85212 21
59275 88697 827
40874 44593 812
42692 43585 729
69527 43271 390
99257 17641 504
76975 3199 429
90688 27181 296
54483 4286 290
4925 72362 717
24919 85237 496
65090 50716 423
37371 1739 833
67777 43920 428
24575 62849 756
34209 2471 398
19327 49326 969
54654 40012 402
34209 93502 890
85737 7769 366
79782 51119 715
946 91811 584
28824 72717 969
59792 89049 339
74553 73947 167
20942 11873 553
15398 46658 322
96140 7889 905
32708 53149 673
71488 67472 357
80317 8732 151
91387 41187 213
55733 39835 757
4001 86493 470
33659 16393 328
60579 70414 833
77327 48450 119
23493 90895 558
82387 24118 496
4349 48128 983
55834 58941 515
16166 85918 346
42647 25554 55
26012 3789 226
46830 92718 422
18152 44051 969
85347 59725 657
92185 50613 763
76348 4532 540
1247 52874 724
34720 49071 331
61037 49853 541
50854 3339 551
33053 98132 840
8129 44957 806
70587 47153 301
46176 52276 547
88586 14376 868
60855 36795 697
60200 30788 616
13201 40739 673
73710 96782 522
82953 34260 681
82749 53165 451
31487 7116 482
46385 896 370
98269 31710 454
3108 84724 563
46880 52140 42
69201 19455 859
37282 78294 649
59181 78195 659
36559 78645 783
99638 67484 60
75068 78372 525
68962 74110 589
86192 40486 741
34832 50041 240
78092 53155 270
43404 16030 708
45279 27080 69
86937 44144 767
92230 80940 138
11678 69876 537
19916 81611 324
77176 45236 910
29437 37618 553
27602 78899 815
80365 72117 997
23224 69968 871
96218 97658 999
12780 51700 438
41323 60819 531
77715 34604 982
93386 45267 97
52889 50506 598
43848 78228 803
3951 10281 156
97175 43418 946
25572 51895 739
73249 41046 313
96163 52139 898
87517 76277 880
93302 70696 673
81697 7835 878
30778 44848 366
41232 53643 837
57579 53815 973
60652 8496 297
86401 24024 374
84160 7131 97
83097 78556 651
26209 83207 184
64005 67295 186
60566 66634 879
71640 55547 952
78560 40085 174
8476 21444 879
92246 64998 213
18015 15721 460
1756 72833 408
48995 81810 85
56205 17808 688
79945 20930 202
30393 44000 600
99924 38047 111
50197 67720 489
50229 65564 704
46739 36033 153
72367 41796 112
16083 24725 534
90122 45753 173
32115 72933 196
52489 73991 650
91262 76846 957
39308 32455 579
72929 85864 671
74458 17574 364
78430 10547 35
90545 41399 398
31975 49693 105
34328 67950 941
84783 48232 136
16529 17038 780
66814 81254 35
43815 15664 818
19530 69955 719
89078 62434 323
79345 22789 299
41319 80048 943
33770 1414 69
63494 71733 736
60740 14670 485
62174 59932 834
67482 89093 648
94198 63439 208
8446 45472 606
53865 71471 725
8671 27003 71
78241 68212 648
34726 17318 655
59098 1101 199
84109 98889 672
18828 22676 129
59583 51870 795
57437 17953 789
88821 96212 373
16595 70822 743
38849 4520 81
17053 9367 592
49542 61178 552
87384 56509 338
1396 29916 988
54659 65646 815
33053 24393 273
21109 932 389
53402 4266 880
10775 52203 630
23775 42511 727
46436 45419 417
22668 28968 122
58166 86401 367
37561 95858 936
2736 70961 98
5671 54965 837
68141 8314 235
45213 46727 897
23749 69700 176
23213 62752 712
80298 48093 741
20237 30942 150
23443 43753 573
32171 89221 674
29290 45632 764
95943 4806 524
82955 93215 92
70961 88798 307
28771 51871 685
27847 84252 183
74055 10265 182
78537 48562 707
53787 7389 836
86375 46139 94
67111 36123 722
86877 12430 904
13331 7273 376
41869 4088 254
85777 71467 650
15957 34891 373
21306 75230 924
42125 24017 52
80000 93270 181
20288 30806 550
66192 87818 873
44402 94085 112
61863 6217 251
84641 77508 904
84466 43729 779
91983 93367 455
8916 51032 519
96321 27320 581
62805 90100 850
14131 40698 190
73496 99211 22
56630 92601 409
76665 46018 369
84335 69692 934
12969 4651 972
3805 59015 243
60589 47663 932
73158 60042 578
94387 95231 673
38114 58261 441
9931 6330 490
58271 33060 655
32894 5070 20
50719 36632 245
11270 94505 700
140 97355 392
48094 53467 699
55104 6786 197
83458 90123 381
53976 84519 149
19407 81860 829
17229 28884 492
20952 73653 766
61656 36535 609
34315 35048 281
54827 35756 620
84720 67744 407
28695 58713 859
36987 12886 180
47826 96182 395
74059 30470 134
42554 56041 888
90133 92356 637
5512 94376 769
20105 10958 629
70696 2659 429
52849 12444 609
86727 30449 663
16040 31675 521
64557 42211 554
4521 30543 572
10555 95047 538
2308 13524 820
64814 62081 36
36771 42293 552
81712 72881 69
46777 48990 267
26789 57328 390
29925 25053 729
16055 67139 281
39219 94487 192
16762 87193 247
11484 59672 870
40689 61524 478
83738 63901 764
61687 37328 830
2063 78786 288
81039 89481 479
14520 70434 540
91387 41784 534
92332 33939 431
41465 7054 487
2370 49538 686
63467 96886 764
16320 64649 372
73691 24147 811
57146 84025 587
19383 54047 687
91719 74510 509
989 59588 717
3868 12821 696
30199 18959 358
16757 60743 913
69445 7913 34
46461 22926 704
24836 81418 570
71364 36093 594
68412 81884 889
50575 93867 923
40589 34899 59
43375 84931 317
17749 32518 624
34073 45466 683
99288 24097 55
9513 75454 417
43226 23254 374
75258 61940 912
13313 85179 786
93175 27487 387
35623 38764 667
30719 42592 294
19197 38451 45
20096 1964 665
40263 35304 191
61835 60984 388
69425 54259 545
4058 87097 607
88367 28510 296
37092 8538 519
60868 93736 334
31846 37990 50
476 7420 954
94037 25683 786
88962 531 951
25512 75815 374
24149 61400 915
30536 68276 124
81020 90909 659
27229 61428 822
53915 12980 97
76016 6912 285
60782 45127 813
8505 89965 143
55116 66241 401
16295 98481 617
41444 38510 856
58414 98349 141
84058 89693 550
64724 65327 960
34825 88682 178
75431 41303 487
47258 11854 398
6083 94557 768
97726 10805 754
10158 25964 15
30921 24249 653
58010 85556 517
37314 79301 714
68548 29275 299
67252 58838 978
17203 99207 823
68854 66666 291
49695 33076 87
26248 63514 693
10145 68457 40
31520 30489 953
30080 22238 218
75775 42178 708
76727 83107 28
44783 48447 92
43002 67356 353
4526 69315 389
29390 87835 870
38294 99847 917
65222 79086 124
64174 83733 941
84226 50275 402
21816 41024 975
93087 87617 381
58505 45169 461
3759 59309 365
92040 49608 381
55969 96787 689
31553 2733 877
11824 8838 974
76391 44296 540
48612 29721 753
13673 75479 22
34144 22730 497
19042 17708 806
39846 75948 368
86924 56964 703
97628 49517 705
42391 55185 257
48476 4914 104
9210 73561 71
51323 96218 158
92960 68525 455
48116 82338 446
17507 4820 950
88808 52608 457
77550 46351 453
20902 93136 807
91379 12270 123
2361 72458 176
90957 3445 773
28460 84249 105
11723 94791 403
56227 66127 12
49511 9004 185
22796 60314 743
57305 61025 629
18388 8030 808
90578 57135 95
44765 95033 211
41416 67262 27
9838 61980 961
57836 5647 798
51839 94047 473
54686 99004 552
28978 39897 963
50519 31043 246
40127 94867 254
20797 44318 63
47566 11174 604
21848 36765 626
13520 27315 280
56627 48094 946
16797 60264 10
12554 97956 947
43594 58779 359
39055 79540 871
4301 68143 935
27355 39965 589
83811 31880 151
28520 70330 953
79994 23314 198
38819 54817 802
48411 1875 764
91145 63112 133
35325 82952 545
34477 64133 581
67290 31942 367
